Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
158,15.35,Foggy,Low,Morning,Car,5,3.0,56
341,10.09,Clear,Medium,Evening,Bike,7,0.0,49
530,17.36,Rainy,High,Afternoon,Bike,24,1.0,105
595,17.99,Snowy,Low,Afternoon,Bike,15,3.0,63
522,7.93,Windy,Low,Afternoon,Scooter,12,1.0,43
903,4.04,Snowy,Low,Night,Bike,11,9.0,70
16,4.08,Windy,Medium,Afternoon,Bike,7,0.0,33
45,5.55,Foggy,High,Evening,Bike,18,1.0,116
133,2.84,Clear,Medium,Night,Scooter,28,1.0,44
894,8.25,Clear,Medium,Afternoon,Bike,7,9.0,28
981,7.02,Clear,Medium,Evening,Car,23,2.0,53
867,3.53,Clear,Medium,Afternoon,Bike,13,7.0,31
160,14.7,Clear,Medium,Morning,Scooter,6,2.0,58
173,10.49,Rainy,Low,Morning,Bike,28,9.0,66
644,6.89,Rainy,Medium,Afternoon,Bike,11,6.0,43
259,11.62,Clear,Low,Afternoon,Bike,9,8.0,33
991,16.09,Snowy,Low,Morning,Car,13,6.0,69
512,8.66,Snowy,High,Morning,Bike,29,3.0,77
555,17.59,Clear,Low,Morning,Bike,24,6.0,69
963,5.28,Foggy,Low,Morning,Bike,27,6.0,53
229,17.89,Windy,Low,Unknown,Bike,27,1.0,101
739,9.06,Clear,High,Evening,Bike,26,3.0,61
921,17.44,Unknown,Low,Night,Car,23,0.0,85
845,3.4,Windy,Medium,Morning,Bike,11,6.0,30
219,13.17,Rainy,High,Evening,Scooter,17,8.0,69
203,3.65,Clear,Medium,Morning,Bike,29,9.0,46
911,12.01,Clear,Low,Morning,Car,5,7.0,42
976,5.61,Windy,Low,Night,Bike,25,9.0,48
384,17.61,Clear,Medium,Morning,Scooter,19,3.0,80
395,7.15,Clear,High,Night,Car,29,7.0,60
332,15.28,Snowy,Low,Evening,Bike,16,5.0,72
724,14.95,Clear,Medium,Morning,Bike,13,7.0,49
619,16.22,Rainy,High,Evening,Bike,22,0.0,102
124,2.65,Unknown,Medium,Afternoon,Car,14,4.0,35
356,13.03,Foggy,Low,Morning,Scooter,9,1.0,50
167,6.76,Foggy,Medium,Night,Bike,7,6.0,42
106,5.36,Clear,Low,Afternoon,Scooter,11,4.0,30
622,4.58,Clear,High,Morning,Scooter,22,9.0,45
584,6.91,Clear,Medium,Evening,Scooter,28,9.0,56
44,18.23,Rainy,Low,Afternoon,Scooter,27,9.0,86
58,4.32,Unknown,Medium,Morning,Bike,17,4.0,36
856,4.22,Clear,Medium,Morning,Bike,16,7.0,35
793,10.36,Rainy,Medium,Afternoon,Bike,7,8.0,39
713,9.7,Snowy,Low,Evening,Bike,6,,45
233,11.75,Clear,High,Morning,Bike,9,2.0,55
154,10.04,Rainy,High,Afternoon,Bike,12,9.0,59
91,2.83,Windy,Medium,Afternoon,Scooter,14,6.0,28
37,6.44,Clear,Low,Afternoon,Car,18,2.0,43
655,8.92,Clear,Medium,Unknown,Bike,10,1.0,51
849,10.29,Foggy,Medium,Evening,Scooter,25,4.0,67
3,14.77,Unknown,High,Morning,Scooter,11,6.0,67
471,0.74,Rainy,Low,Morning,Car,13,4.0,21
678,8.26,Clear,Low,Unknown,Car,21,4.0,80
598,3.86,Clear,Medium,Afternoon,Bike,21,8.0,34
736,17.61,Foggy,Medium,Afternoon,Bike,9,5.0,74
573,8.23,Snowy,Low,Evening,Bike,17,3.0,56
451,15.65,Clear,Low,Afternoon,Bike,27,0.0,76
481,12.77,Foggy,Low,Morning,Bike,22,8.0,71
665,2.48,Windy,Medium,Afternoon,Car,14,6.0,27
492,12.59,Clear,Low,Evening,Scooter,10,2.0,39
502,10.95,Clear,Medium,Evening,Scooter,24,4.0,55
784,7.24,Rainy,Medium,Evening,Bike,28,6.0,65
355,1.88,Clear,Medium,Morning,Scooter,24,7.0,35
980,12.14,Foggy,High,Afternoon,Bike,12,0.0,65
243,18.34,Snowy,Medium,Afternoon,Scooter,22,,91
432,15.35,Rainy,High,Night,Scooter,23,9.0,80
134,7.08,Clear,Medium,Afternoon,Scooter,5,8.0,27
686,11.36,Foggy,Low,Afternoon,Bike,6,4.0,47
210,3.64,Windy,High,Evening,Bike,17,6.0,40
885,16.1,Clear,Low,Evening,Bike,25,0.0,64
482,14.07,Clear,High,Afternoon,Bike,5,8.0,67
79,7.49,Clear,Unknown,Morning,Scooter,13,9.0,45
30,1.41,Foggy,Medium,Evening,Bike,15,0.0,72
99,1.0,Snowy,Medium,Morning,Bike,25,4.0,44
126,8.83,Unknown,Medium,Evening,Scooter,12,3.0,109
228,8.17,Clear,Medium,Afternoon,Scooter,20,9.0,44
370,1.85,Clear,Medium,Evening,Bike,10,1.0,24
23,6.2,Windy,High,Evening,Scooter,7,3.0,42
982,15.53,Foggy,Low,Evening,Bike,26,7.0,68
404,16.62,Snowy,Low,Afternoon,Bike,26,8.0,94
153,3.33,Unknown,Medium,Evening,Scooter,24,2.0,44
140,19.45,Rainy,High,Morning,Scooter,20,6.0,108
113,18.63,Clear,Low,Evening,Bike,26,8.0,75
323,13.37,Foggy,Medium,Evening,Scooter,16,9.0,71
47,6.58,Clear,Low,Afternoon,Bike,13,1.0,34
275,10.47,Clear,High,Evening,Scooter,14,7.0,55
8,17.39,Foggy,Medium,Morning,Bike,25,4.0,100
580,5.54,Rainy,Medium,Unknown,Scooter,28,9.0,51
291,1.09,Clear,Medium,Morning,Scooter,6,2.0,17
821,16.16,Clear,High,Afternoon,Bike,11,1.0,82
631,14.41,Snowy,Medium,Evening,Bike,8,8.0,75
874,8.47,Foggy,Medium,Evening,Bike,24,0.0,68
436,14.17,Clear,Low,Afternoon,Bike,8,0.0,55
509,19.02,Rainy,High,Evening,Scooter,22,1.0,106
197,14.66,Windy,Medium,Unknown,Bike,20,2.0,77
791,3.49,Clear,Medium,Morning,Bike,17,2.0,38
857,1.21,Snowy,Low,Afternoon,Bike,22,1.0,39
534,11.33,Unknown,Low,Morning,Bike,25,3.0,60
216,5.13,Clear,Low,Morning,Car,15,4.0,30
453,8.77,Foggy,Medium,Evening,Car,14,7.0,49
