order_id,delivery_id,restaurant_id,customer_id,order_value,items_count
1001,D00001,R018,C0314,49.83,5
1002,D00002,R001,C0352,63.26,4
1003,D00003,R017,C0283,28.17,8
1004,D00004,R018,C0021,11.22,6
1005,D00005,R007,C0212,20.51,3
1006,D00006,R006,C0114,10.98,8
1007,D00007,R015,C0348,35.04,7
1008,D00008,R011,C0198,32.15,2
1009,D00009,R007,C0341,36.05,2
1010,D00010,R020,C0341,17.8,7
1011,D00011,R022,C0227,58.41,8
1012,D00012,R022,C0345,81.3,4
1013,D00013,R008,C0254,52.33,7
1014,D00014,R008,C0234,27.19,2
1015,D00015,R015,C0231,65.26,8
1016,D00016,R008,C0071,76.76,2
1017,D00017,R008,C0392,40.35,1
1018,D00018,R013,C0250,69.59,4
1019,D00019,R009,C0202,83.52,1
1020,D00020,R019,C0143,66.61,7
1021,D00021,R009,C0127,11.1,1
1022,D00022,R001,C0399,54.65,2
1023,D00023,R010,C0053,61.18,4
1024,D00024,R022,C0055,40.34,8
1025,D00025,R012,C0375,45.23,7
1026,D00026,R009,C0094,10.21,6
1027,D00027,R007,C0251,14.59,7
1028,D00028,R008,C0218,50.62,6
1029,D00029,R011,C0099,66.69,3
1030,D00030,R024,C0141,9.09,3
1031,D00031,R002,C0130,34.23,1
1032,D00032,R004,C0286,84.53,2
1033,D00033,R020,C0391,55.82,2
1034,D00034,R021,C0148,30.43,4
1035,D00035,R023,C0137,25.31,3
1036,D00036,R003,C0257,38.99,5
1037,D00037,R016,C0392,52.29,1
1038,D00038,R019,C0241,45.86,2
1039,D00039,R014,C0162,10.83,2
1040,D00040,R011,C0321,35.86,8
1041,D00041,R002,C0160,69.55,3
1042,D00042,R001,C0213,63.18,5
1043,D00043,R016,C0175,67.5,7
1044,D00044,R009,C0234,50.5,7
1045,D00045,R007,C0254,37.35,3
1046,D00046,R005,C0039,75.06,3
1047,D00047,R009,C0278,63.34,8
1048,D00048,R020,C0015,20.81,5
1049,D00049,R011,C0318,14.08,7
1050,D00050,R016,C0038,60.18,3
1051,D00051,R012,C0295,37.37,6
1052,D00052,R023,C0398,46.25,5
1053,D00053,R020,C0159,77.56,1
1054,D00054,R002,C0085,82.8,5
1055,D00055,R016,C0047,83.46,6
1056,D00056,R001,C0242,16.34,4
1057,D00057,R020,C0156,11.49,1
1058,D00058,R004,C0213,65.15,3
1059,D00059,R016,C0032,36.28,6
1060,D00060,R009,C0290,26.75,3
1061,D00061,R003,C0067,74.1,3
1062,D00062,R009,C0270,17.76,7
1063,D00063,R024,C0235,77.97,5
1064,D00064,R002,C0320,13.06,5
1065,D00065,R018,C0221,75.58,4
1066,D00066,R008,C0035,60.89,8
1067,D00067,R003,C0182,59.59,7
1068,D00068,R024,C0059,16.33,6
1069,D00069,R019,C0015,71.87,5
1070,D00070,R009,C0383,82.83,2
1071,D00071,R007,C0387,12.05,3
1072,D00072,R002,C0348,41.1,5
1073,D00073,R016,C0149,18.57,5
1074,D00074,R004,C0224,13.55,1
1075,D00075,R015,C0354,21.23,8
1076,D00076,R003,C0040,33.65,3
1077,D00077,R021,C0102,15.92,5
1078,D00078,R020,C0322,75.92,6
1079,D00079,R005,C0189,42.8,1
1080,D00080,R003,C0165,52.02,4
1081,D00081,R016,C0225,11.01,8
1082,D00082,R017,C0286,13.08,2
1083,D00083,R010,C0159,38.18,2
1084,D00084,R013,C0010,40.6,6
1085,D00085,R010,C0339,15.79,1
1086,D00086,R020,C0347,11.36,6
1087,D00087,R015,C0237,80.93,8
1088,D00088,R013,C0365,36.58,2
1089,D00089,R004,C0014,42.74,6
1090,D00090,R002,C0071,58.05,3
1091,D00091,R010,C0057,50.26,7
1092,D00092,R008,C0368,49.28,4
1093,D00093,R010,C0200,48.51,1
1094,D00094,R002,C0069,52.81,6
1095,D00095,R012,C0151,80.66,1
1096,D00096,R002,C0336,30.03,1
1097,D00097,R009,C0266,61.29,6
1098,D00098,R003,C0086,42.34,7
1099,D00099,R012,C0016,35.97,3
1100,D00100,R020,C0190,19.81,8
1101,D00101,R015,C0135,47.87,2
1102,D00102,R023,C0350,62.93,2
1103,D00103,R022,C0261,21.41,6
1104,D00104,R004,C0159,76.09,2
1105,D00105,R023,C0394,17.88,3
1106,D00106,R014,C0041,80.45,5
1107,D00107,R007,C0289,21.18,6
1108,D00108,R001,C0248,50.01,5
1109,D00109,R022,C0376,32.07,6
1110,D00110,R013,C0316,11.9,7
1111,D00111,R008,C0047,31.76,1
1112,D00112,R017,C0056,44.24,1
1113,D00113,R005,C0320,46.83,5
1114,D00114,R004,C0024,47.2,1
1115,D00115,R005,C0304,84.28,5
1116,D00116,R017,C0306,69.35,1
1117,D00117,R009,C0294,60.42,1
1118,D00118,R007,C0362,73.33,1
1119,D00119,R017,C0313,35.28,5
1120,D00120,R007,C0179,45.65,8
1121,D00121,R024,C0148,19.28,1
1122,D00122,R012,C0125,65.05,4
1123,D00123,R022,C0209,50.38,3
1124,D00124,R016,C0090,73.48,1
1125,D00125,R006,C0172,51.73,2
1126,D00126,R015,C0378,63.33,1
1127,D00127,R010,C0072,59.53,3
1128,D00128,R011,C0355,28.14,6
1129,D00129,R002,C0189,57.18,5
1130,D00130,R008,C0391,66.32,4
1131,D00131,R022,C0085,46.92,3
1132,D00132,R017,C0287,39.99,1
1133,D00133,R022,C0036,49.67,1
1134,D00134,R002,C0193,42.54,7
1135,D00135,R022,C0238,66.23,5
1136,D00136,R014,C0315,70.33,7
1137,D00137,R008,C0387,41.8,4
1138,D00138,R005,C0339,26.24,3
1139,D00139,R008,C0330,46.16,6
1140,D00140,R017,C0238,74.03,3
1141,D00141,R018,C0275,73.23,2
1142,D00142,R002,C0008,77.84,5
1143,D00143,R007,C0158,37.31,6
1144,D00144,R012,C0289,32.09,1
1145,D00145,R024,C0256,51.87,4
1146,D00146,R021,C0095,63.46,8
1147,D00147,R021,C0192,8.7,8
1148,D00148,R020,C0092,30.08,7
1149,D00149,R004,C0357,39.26,4
1150,D00150,R010,C0331,46.49,7
1151,D00151,R019,C0279,13.72,5
1152,D00152,R022,C0291,20.51,4
1153,D00153,R022,C0039,15.52,4
1154,D00154,R020,C0044,41.25,7
1155,D00155,R010,C0228,15.05,5
1156,D00156,R009,C0198,15.17,6
1157,D00157,R010,C0155,21.05,5
1158,D00158,R016,C0235,56.13,4
1159,D00159,R005,C0154,74.18,3
1160,D00160,R020,C0167,52.34,4
1161,D00161,R009,C0363,81.38,8
1162,D00162,R015,C0307,37.03,8
1163,D00163,R019,C0056,57.14,2
1164,D00164,R022,C0114,8.81,5
1165,D00165,R024,C0248,19.61,1
1166,D00166,R010,C0050,45.19,8
1167,D00167,R024,C0265,20.66,4
1168,D00168,R018,C0231,10.25,4
1169,D00169,R014,C0101,22.4,6
1170,D00170,R004,C0345,43.26,3
1171,D00171,R020,C0217,53.92,7
1172,D00172,R016,C0070,81.29,8
1173,D00173,R013,C0017,66.6,5
1174,D00174,R008,C0278,67.68,6
1175,D00175,R024,C0225,28.24,2
1176,D00176,R008,C0292,70.64,1
1177,D00177,R018,C0070,77.31,2
1178,D00178,R002,C0322,52.46,5
1179,D00179,R013,C0375,52.81,2
1180,D00180,R021,C0290,34.01,3
1181,D00181,R011,C0104,8.05,7
1182,D00182,R021,C0220,56.17,4
1183,D00183,R023,C0356,70.92,7
1184,D00184,R016,C0329,70.63,3
1185,D00185,R003,C0112,55.44,8
1186,D00186,R004,C0399,14.49,5
1187,D00187,R022,C0058,26.43,7
1188,D00188,R016,C0395,60.59,8
1189,D00189,R001,C0217,46.58,7
1190,D00190,R003,C0159,53.16,2
1191,D00191,R024,C0062,58.67,3
1192,D00192,R023,C0376,17.77,5
1193,D00193,R001,C0291,35.73,8
1194,D00194,R012,C0187,26.83,8
1195,D00195,R005,C0040,63.46,5
1196,D00196,R012,C0168,29.74,5
1197,D00197,R018,C0376,45.99,4
1198,D00198,R008,C0378,66.44,7
1199,D00199,R004,C0359,25.82,7
1200,D00200,R015,C0150,82.24,4
1201,D00201,R011,C0231,19.97,3
1202,D00202,R011,C0111,60.83,1
1203,D00203,R005,C0285,39.14,8
1204,D00204,R008,C0299,36.66,2
1205,D00205,R009,C0237,33.53,1
1206,D00206,R006,C0018,42.34,3
1207,D00207,R020,C0323,76.12,4
1208,D00208,R001,C0016,32.55,4
1209,D00209,R002,C0392,49.09,1
1210,D00210,R019,C0291,62.17,6
1211,D00211,R005,C0170,48.54,1
1212,D00212,R007,C0192,74.27,2
1213,D00213,R019,C0115,32.43,6
1214,D00214,R006,C0094,82.32,1
1215,D00215,R011,C0363,56.99,2
1216,D00216,R015,C0212,64.41,3
1217,D00217,R013,C0151,13.68,1
1218,D00218,R011,C0361,15.17,8
1219,D00219,R014,C0339,64.21,5
1220,D00220,R010,C0103,71.44,8
1221,D00221,R001,C0095,15.02,7
1222,D00222,R013,C0044,61.63,2
1223,D00223,R018,C0244,80.1,4
1224,D00224,R003,C0086,66.3,3
1225,D00225,R007,C0045,78.13,2
1226,D00226,R018,C0077,40.31,7
1227,D00227,R019,C0293,28.34,8
1228,D00228,R016,C0382,61.17,1
1229,D00229,R009,C0397,18.35,8
1230,D00230,R009,C0034,12.33,3
1231,D00231,R023,C0185,10.55,1
1232,D00232,R009,C0301,21.67,8
1233,D00233,R012,C0332,82.3,4
1234,D00234,R022,C0115,21.34,1
1235,D00235,R020,C0300,71.47,7
1236,D00236,R001,C0142,29.29,6
1237,D00237,R021,C0370,58.86,3
1238,D00238,R021,C0352,22.62,4
1239,D00239,R021,C0349,65.05,3
1240,D00240,R021,C0241,43.71,2
1241,D00241,R021,C0071,75.06,3
1242,D00242,R011,C0003,21.62,1
1243,D00243,R009,C0245,41.06,7
1244,D00244,R001,C0116,8.32,4
1245,D00245,R010,C0223,48.06,6
1246,D00246,R011,C0302,18.1,1
1247,D00247,R006,C0025,16.32,1
1248,D00248,R014,C0319,58.95,5
1249,D00249,R023,C0184,67.9,4
1250,D00250,R010,C0077,77.83,8
1251,D00251,R017,C0149,21.45,1
1252,D00252,R022,C0319,35.53,8
1253,D00253,R024,C0058,69.59,3
1254,D00254,R023,C0351,35.61,1
1255,D00255,R016,C0343,65.26,4
1256,D00256,R017,C0006,71.64,1
1257,D00257,R017,C0121,57.54,7
1258,D00258,R015,C0019,15.9,7
1259,D00259,R018,C0115,34.25,1
1260,D00260,R011,C0281,35.35,5
1261,D00261,R012,C0111,17.3,7
1262,D00262,R007,C0256,53.38,3
1263,D00263,R017,C0337,17.89,7
1264,D00264,R020,C0212,69.97,3
1265,D00265,R023,C0364,60.87,3
1266,D00266,R017,C0217,59.92,5
1267,D00267,R017,C0354,27.29,1
1268,D00268,R007,C0355,37.94,5
1269,D00269,R013,C0387,71.91,6
1270,D00270,R018,C0143,37.04,7
1271,D00271,R009,C0252,11.92,5
1272,D00272,R018,C0114,39.06,6
1273,D00273,R022,C0343,58.0,2
