delivery_id,delivery_person_id,restaurant_area,customer_area,delivery_distance_km,delivery_time_min,order_placed_at,weather_condition,traffic_condition,delivery_rating
D00001,5,Riverside,Riverside,4.71,19,2026-06-05 19:01:00,Clear,Low,4.9
D00002,34,Downtown,Westfield,2.09,22,2026-07-16 19:44:00,Clear,Medium,5.0
D00003,17,Downtown,Downtown,5.54,31,2026-07-29 21:20:00,Clear,Low,3.5
D00004,28,Riverside,Riverside,2.47,21,2026-07-23 01:03:00,Clear,Medium,4.2
D00005,23,Harbor View,Riverside,10.6,37,2026-05-13 06:04:00,Fog,Medium,4.0
D00006,2,Old Town,Old Town,9.03,24,2026-04-28 02:05:00,Clear,Low,3.8
D00007,13,Harbor View,Harbor View,8.19,30,2026-06-14 16:59:00,Clear,Low,4.6
D00008,35,Uptown,Riverside,11.58,32,2026-06-06 18:23:00,Clear,Low,4.6
D00009,37,Harbor View,Harbor View,11.17,47,2026-04-22 23:27:00,Rain,Medium,3.3
D00010,22,Eastgate,Eastgate,4.16,29,2026-07-11 00:03:00,Clear,Medium,4.5
D00011,25,Old Town,Uptown,6.94,18,2026-03-19 14:35:00,Clear,Low,4.7
D00012,29,Old Town,Old Town,8.18,29,2026-04-12 00:50:00,Clear,Medium,4.1
D00013,20,Sunset Hills,Uptown,11.82,56,2026-08-05 22:45:00,Rain,High,4.3
D00014,26,Sunset Hills,Sunset Hills,5.56,29,2026-08-10 20:11:00,Clear,High,4.2
D00015,9,Harbor View,Old Town,8.86,53,2026-04-20 04:08:00,Rain,High,3.7
D00016,17,Sunset Hills,Westfield,3.48,26,2026-03-31 08:20:00,Clear,Medium,4.7
D00017,10,Sunset Hills,Sunset Hills,1.52,23,2026-07-03 01:47:00,Clear,Medium,4.5
D00018,37,Westfield,Westfield,5.17,38,2026-05-13 14:12:00,Storm,High,4.0
D00019,15,Downtown,Downtown,8.29,49,2026-08-04 11:39:00,Cloudy,Medium,3.1
D00020,38,Uptown,Riverside,5.97,37,2026-04-24 19:05:00,Clear,Medium,4.6
D00021,27,Downtown,Sunset Hills,1.38,26,2026-08-07 00:26:00,Fog,Low,4.8
D00022,13,Downtown,Eastgate,2.08,20,2026-07-10 08:18:00,Fog,Medium,4.8
D00023,11,Riverside,Riverside,8.39,39,2026-08-05 14:24:00,Fog,Medium,4.0
D00024,20,Old Town,Riverside,6.77,30,2026-03-20 22:38:00,Cloudy,Low,4.2
D00025,28,Eastgate,Sunset Hills,9.02,40,2026-07-03 10:49:00,Fog,Low,3.6
D00026,38,Downtown,Downtown,10.67,48,2026-06-10 21:43:00,Clear,Medium,3.8
D00027,32,Harbor View,Harbor View,10.66,40,2026-06-06 13:43:00,Cloudy,Low,4.2
D00028,36,Sunset Hills,Sunset Hills,4.1,21,2026-04-19 23:55:00,Clear,Low,3.9
D00029,36,Uptown,Uptown,3.62,24,2026-04-17 15:41:00,Clear,Low,4.7
